Rank,Name,Team,ByeWeek,Age,Position,PositionRank,Week1ADP,Week2ADP,Week3ADP,HighestADP,LowestADP,AverageDraftPositionPPR
1,Adrian Peterson,MIN,5,37,RB,RB1,null,null,null,null,null,1.8
2,Antonio Brown,PIT,11,34,WR,WR1,null,null,null,null,null,2.5
3,Le'Veon Bell,PIT,11,31,RB,RB2,null,null,null,null,null,3.1
4,Eddie Lacy,GB,7,32,RB,RB3,null,null,null,null,null,4
5,Jamaal Charles,KC,9,36,RB,RB4,null,null,null,null,null,4.5
6,Julio Jones,ATL,10,34,WR,WR2,121,121,121,121,121,6.2
7,Dez Bryant,DAL,6,34,WR,WR3,null,null,null,null,null,7.6
8,Marshawn Lynch,SEA,9,36,RB,RB5,null,null,null,null,null,8.6
9,Demaryius Thomas,DEN,7,35,WR,WR4,null,null,null,null,null,9.1
10,Rob Gronkowski,NE,4,33,TE,TE1,null,null,null,null,null,10.3
11,CJ Anderson,DEN,7,32,RB,RB6,null,null,null,null,null,10.7
12,Odell Beckham Jr.,NYG,11,30,WR,WR5,null,null,null,null,null,11.4
13,Calvin Johnson,DET,9,37,WR,WR6,null,null,null,null,null,13.1
14,Matt Forte,CHI,7,37,RB,RB7,null,null,null,null,null,13.7
15,Jeremy Hill,CIN,7,30,RB,RB8,null,null,null,null,null,14.4
16,Randall Cobb,GB,7,32,WR,WR7,185,185,185,185,185,15.9
17,A.J. Green,CIN,7,34,WR,WR8,192,192,192,192,192,16.7
18,Andrew Luck,IND,10,33,QB,QB1,null,null,null,null,null,16.9
19,DeMarco Murray,PHI,8,35,RB,RB9,null,null,null,null,null,17.6
20,Justin Forsett,BAL,9,37,RB,RB10,null,null,null,null,null,19.3
21,Brandin Cooks,NO,11,29,WR,WR9,57.9,57.9,57.9,57.9,57.9,20.6
22,Lamar Miller,MIA,5,31,RB,RB11,null,null,null,null,null,22.3
23,T.Y. Hilton,IND,10,33,WR,WR10,null,null,null,null,null,22.8
24,LeSean McCoy,BUF,8,34,RB,RB12,null,null,null,null,null,24.4
24,Jordan Matthews,PHI,8,30,TE,TE2,null,null,null,null,null,24.4
26,Alshon Jeffery,CHI,7,33,WR,WR11,null,null,null,null,null,26.1
27,Aaron Rodgers,GB,7,39,QB,QB2,77.9,77.9,77.9,77.9,77.9,27.1
28,Frank Gore,IND,10,39,RB,RB13,null,null,null,null,null,27.7
29,DeAndre Hopkins,HOU,9,30,WR,WR12,90.2,90.2,90.2,90.2,90.2,28.7
30,Mike Evans,TB,6,29,WR,WR13,26.1,26.1,26.1,26.1,26.1,30
31,Mark Ingram II,NO,11,33,RB,RB14,188,188,188,188,188,31
32,Emmanuel Sanders,DEN,7,35,WR,WR14,null,null,null,null,null,31.9
33,Latavius Murray,LV,6,33,RB,RB15,null,null,null,null,null,33.3
34,Jimmy Graham,SEA,9,36,TE,TE3,null,null,null,null,null,33.5
35,Davante Adams,GB,7,30,WR,WR15,12.4,12.4,12.4,12.4,12.4,34.6
36,Jarvis Landry,MIA,5,30,WR,WR16,165,165,165,165,165,36.6
37,Arian Foster,HOU,9,36,RB,RB16,null,null,null,null,null,37.5
38,Andre Johnson,IND,10,41,WR,WR17,null,null,null,null,null,37.7
39,Doug Martin,TB,6,34,RB,RB17,null,null,null,null,null,38
40,Jeremy Maclin,KC,9,34,WR,WR18,null,null,null,null,null,38.8
41,Amari Cooper,LV,6,28,WR,WR19,83.8,83.8,83.8,83.8,83.8,40.8
42,Ameer Abdullah,DET,9,29,RB,RB18,214,214,214,214,214,41.5
43,Julian Edelman,NE,4,36,WR,WR20,null,null,null,null,null,41.9
44,Golden Tate,DET,9,34,WR,WR21,null,null,null,null,null,43.5
45,Andre Ellington,ARI,9,34,RB,RB19,null,null,null,null,null,43.7
46,Carlos Hyde,SF,10,32,RB,RB20,null,null,null,null,null,44.7
47,Greg Olsen,CAR,5,38,TE,TE4,null,null,null,null,null,45.1
48,Chris Ivory,NYJ,5,34,RB,RB21,null,null,null,null,null,47.6
49,Alfred Morris,WAS,8,34,RB,RB22,null,null,null,null,null,48.2
50,Keenan Allen,LAC,10,30,WR,WR22,29.3,29.3,29.3,29.3,29.3,48.7
51,Brandon Marshall,NYJ,5,38,WR,WR23,null,null,null,null,null,50.5
52,Travis Kelce,KC,9,33,TE,TE5,16.6,16.6,16.6,16.6,16.6,50.6
53,Melvin Gordon III,LAC,10,29,RB,RB23,84.4,84.4,84.4,84.4,84.4,51.8
54,Jonathan Stewart,CAR,5,35,RB,RB24,null,null,null,null,null,53
55,Allen Robinson II,JAX,8,29,WR,WR24,53.9,53.9,53.9,53.9,53.9,53.5
56,Peyton Manning,DEN,7,46,QB,QB3,null,null,null,null,null,54.9
57,Joseph Randle,DAL,6,31,RB,RB25,null,null,null,null,null,56.6
57,Nelson Agholor,PHI,8,29,WR,WR25,199,199,199,199,199,56.6
59,Drew Brees,NO,11,44,QB,QB4,null,null,null,null,null,56.8
60,CJ Spiller,NO,11,35,RB,RB26,null,null,null,null,null,57.9
61,Todd Gurley II,LAR,6,28,RB,RB27,null,null,null,null,null,60.2
62,Martellus Bennett,CHI,7,36,TE,TE6,null,null,null,null,null,60.3
63,Charles Johnson,MIN,5,34,WR,WR26,null,null,null,null,null,61.6
64,Sammy Watkins,BUF,8,29,WR,WR27,195,195,195,195,195,62.5
65,T.J. Yeldon,JAX,8,29,RB,RB28,null,null,null,null,null,63.1
66,Ben Roethlisberger,PIT,11,41,QB,QB5,null,null,null,null,null,63.8
67,John Brown,ARI,9,32,WR,WR28,700,700,700,700,700,64.3
68,Tom Brady,NE,4,45,QB,QB6,86.7,86.7,86.7,86.7,86.7,67
69,Martavis Bryant,PIT,11,31,WR,WR29,null,null,null,null,null,67.2
